Molecule,Value_2024,2024Units,Average Price 2024,Value_2023,2023Units,Average Price 2023,Value_2022,2022Units,Average Price 2022,Value_2021,2021Units,Average Price 2021,Value_2020,2020Units,Average Price 2020,Comp,Private,Adjusted Price,Selling Price,Penetration Rate,Forecasted Units,Revenue,Profit,5-Year Profit,CAGR
PINUS MASSONIANA,130356.0,749.0,174.0,183925.0,838.0,219.0,65736.0,264.0,249.0,125496.0,504.0,249.0,187497.0,753.0,249.0,2,1.0,125.17985611510792,50.071942446043174,0.08,59.92,3000.310791366907,1500.1553956834534,7500.776978417267,-8.686671110081711
PINUS MUGO PUMILIO,1912897.0,26479.0,72.0,2281748.0,31856.0,72.0,2250479.0,30097.0,75.0,1988965.0,26165.0,76.0,1745620.0,26432.0,66.0,7,0.93064969,51.79856115107914,20.719424460431657,0.05,1323.95,27431.482014388494,13715.741007194247,68578.70503597123,2.3140954964107285
PINUS PINASTER,1076095.0,5198.0,207.0,1277704.0,5971.0,214.0,1279034.0,5319.0,240.0,2726018.0,11606.0,235.0,2909872.0,12169.0,239.0,4,0.997732542,148.92086330935254,59.56834532374102,0.05,259.90000000000003,15481.812949640293,7740.906474820146,38704.53237410073,-22.018033639755874
PINUS SYLVESTRIS,30318.0,6728.0,5.0,19902.0,4381.0,5.0,18741.0,4153.0,5.0,51269.0,3707.0,14.0,100387.0,4862.0,21.0,3,1.0,3.5971223021582737,1.4388489208633095,0.08,538.24,774.4460431654677,387.22302158273385,1936.1151079136694,-25.86799127192857
PIOGLITAZONE,33301961.0,332497.0,100.0,36917363.0,300027.0,123.0,34017422.0,267212.0,127.0,32013655.0,248667.0,129.0,31330379.0,219942.0,142.0,7,0.828410285,71.94244604316548,28.776978417266193,0.05,16624.850000000002,478412.9496402879,239206.47482014395,1196032.3741007198,1.5374003070525166
PIPER CHABA,1169454.0,40326.0,29.0,1249987.0,43103.0,29.0,1326750.0,45750.0,29.0,9360.0,468.0,20.0,4980.0,249.0,20.0,2,1.0,20.863309352517987,8.345323741007196,0.08,3226.08,26922.682014388494,13461.341007194247,67306.70503597123,291.4609540694956
PIPER CUBEBA,109152.0,6822.0,16.0,184928.0,11558.0,16.0,363680.0,22730.0,16.0,127968.0,7998.0,16.0,415152.0,25947.0,16.0,1,1.0,11.510791366906476,4.604316546762591,0.08,545.76,2512.8517985611516,1256.4258992805758,6282.129496402878,-28.39289091108652
PIPER LONGUM,3079605.0,141321.0,22.0,3232081.0,148320.0,22.0,3677473.0,168748.0,22.0,2194111.0,110541.0,20.0,2300572.0,123147.0,19.0,7,1.0,15.827338129496404,6.330935251798562,0.05,7066.05,44734.70503597123,22367.352517985615,111836.76258992808,7.563468131545248
PIPER NIGRUM,4487679.0,123286.0,36.0,5290163.0,134308.0,39.0,5739777.0,144712.0,40.0,2718572.0,69201.0,39.0,1921322.0,82698.0,23.0,13,1.0,25.89928057553957,10.359712230215829,0.03,3698.58,38316.22446043166,19158.11223021583,95790.56115107915,23.62474456038024
PIPERACILLIN,34353528.0,521495.0,66.0,24653763.0,409096.0,60.0,23455866.0,393335.0,60.0,45886621.0,714906.0,64.0,36065842.0,543685.0,66.0,4,0.41630877,47.48201438848921,18.992805755395686,0.05,26074.75,495232.6618705037,247616.33093525184,1238081.6546762593,-1.208673435847707
PIRACETAM,182129.0,6501.0,28.0,470652.0,16809.0,28.0,962668.0,34381.0,28.0,546392.0,19514.0,28.0,961828.0,34351.0,28.0,2,0.918579688,20.143884892086334,8.057553956834534,0.08,520.08,4190.572661870505,2095.2863309352524,10476.431654676262,-34.03395877845724
PIRFENIDONE,1116750.0,187.0,5972.0,1133010.0,69.0,16420.0,2510396.0,147.0,17078.0,3500889.0,205.0,17078.0,2595783.0,152.0,17078.0,1,0.880468323,4423.7037037037035,1769.4814814814815,0.08,14.96,26471.442962962967,13235.721481481483,66178.60740740741,-19.01177246802357
PIRIBEDIL,,,,,,,280.0,8.0,35.0,37870.0,1082.0,35.0,44205.0,1263.0,35.0,1,,,,0.08,,,,,
PIROCTONE,3393443.0,41533.0,82.0,2112141.0,30921.0,68.0,1694062.0,21889.0,77.0,1272858.0,11051.0,115.0,946748.0,9734.0,97.0,6,0.999932222,58.992805755395686,23.597122302158276,0.05,2076.65,49002.96402877699,24501.482014388494,122507.41007194246,37.594647699776765
PIROXICAM,414964.0,18363.0,23.0,473914.0,20463.0,23.0,725783.0,32003.0,23.0,1036620.0,46080.0,22.0,772993.0,33974.0,23.0,1,1.0,16.546762589928058,6.618705035971224,0.08,1469.04,9723.142446043166,4861.571223021583,24307.856115107916,-14.402966247061466
PIROXICAM BETADEX,1780527.0,75767.0,24.0,2540025.0,108086.0,24.0,2580892.0,109825.0,24.0,2298656.0,97815.0,24.0,2093038.0,87957.0,24.0,3,0.973603321,17.266187050359715,6.906474820143886,0.08,6061.36,41862.63021582735,20931.315107913673,104656.57553956837,-3.9620540963377526
PIRTOBRUTINIB,936402.0,9.0,104045.0,,,,,,,,,,,,,1,0.4444448,77070.37037037036,30828.148148148146,0.08,0.72,22196.266666666663,11098.133333333331,55490.66666666666,
PISTACIA CHINENSIS,,,,,,,,,,580.0,29.0,20.0,3180.0,159.0,20.0,1,,,,0.08,,,,,
PISTACIA VERA,190132.0,11523.0,17.0,186024.0,11274.0,17.0,208894.0,12660.0,17.0,202010.0,12243.0,17.0,260224.0,15771.0,17.0,1,1.0,12.23021582733813,4.8920863309352525,0.08,921.84,4509.720863309353,2254.8604316546766,11274.302158273384,-7.545731442463854
PISUM SATIVUM,,,,,,,,,,,,,740.0,5.0,148.0,1,,,,0.08,,,,,
